Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A02,121.0,Sebersdorf,348,Sebersd./Bad Waltersd. - Hartberg,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",11.88,12.149,12.247,11.897,12.749,11.169,11.408,"41,9% Tage geschätzt"
A02,121.0,Sebersdorf,348,gesamt,gesamt,Kfz,27.607,30.135,29.977,29.951,30.711,23.819,21.28,"41,9% Tage geschätzt"
A02,121.0,Sebersdorf,348,gesamt,gesamt,"Kfz > 3,5t hzG",4.534,6.119,6.7,6.493,4.796,2.059,640.0,Messung
A02,121.0,Sebersdorf,348,gesamt,gesamt,"Kfz <= 3,5t hzG",23.073,24.016,23.277,23.458,25.915,21.76,20.64,"41,9% Tage geschätzt"
A02,131.6,Hohenbrugg,354,Sebersd./Bad Waltersd. - Ilz Fürstenfeld,Staatsgrenze Arnoldstein,Kfz,14.156,15.619,15.631,15.628,15.59,11.723,10.659,Messung
A02,131.6,Hohenbrugg,354,Sebersd./Bad Waltersd. - Ilz Fürstenfeld,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",2.286,3.133,4.009,3.353,2.035,800.0,310.0,Messung
A02,131.6,Hohenbrugg,354,Sebersd./Bad Waltersd. - Ilz Fürstenfeld,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",11.87,12.486,11.622,12.275,13.555,10.923,10.349,Messung
A02,131.6,Hohenbrugg,354,Ilz Fürstenfeld - Sebersd./Bad Waltersd.,Wien/Kn. Inzersdorf,Kfz,14.523,15.601,15.423,15.492,15.993,12.727,11.947,Messung
A02,131.6,Hohenbrugg,354,Ilz Fürstenfeld - Sebersd./Bad Waltersd.,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.291,3.045,2.744,3.207,2.802,1.274,330.0,Messung
A02,131.6,Hohenbrugg,354,Ilz Fürstenfeld - Sebersd./Bad Waltersd.,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",12.232,12.556,12.679,12.285,13.191,11.453,11.617,Messung
A02,131.6,Hohenbrugg,354,gesamt,gesamt,Kfz,28.679,31.22,31.054,31.12,31.583,24.45,22.606,Messung
A02,131.6,Hohenbrugg,354,gesamt,gesamt,"Kfz > 3,5t hzG",4.577,6.178,6.753,6.56,4.837,2.074,640.0,Messung
A02,131.6,Hohenbrugg,354,gesamt,gesamt,"Kfz <= 3,5t hzG",24.102,25.042,24.301,24.56,26.746,22.376,21.966,Messung
A02,144.2,Hochenegg,361,Ilz Fürstenfeld - Sinabelkirchen,Staatsgrenze Arnoldstein,Kfz,15.842,17.356,17.719,17.419,16.975,13.15,12.338,Messung
A02,144.2,Hochenegg,361,Ilz Fürstenfeld - Sinabelkirchen,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",2.441,3.352,4.279,3.586,2.187,839.0,319.0,Messung
A02,144.2,Hochenegg,361,Ilz Fürstenfeld - Sinabelkirchen,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",13.401,14.004,13.44,13.833,14.788,12.311,12.019,Messung
A02,144.2,Hochenegg,361,Sinabelkirchen - Ilz Fürstenfeld,Wien/Kn. Inzersdorf,Kfz,16.444,17.921,17.261,17.719,18.841,14.298,12.705,Messung
A02,144.2,Hochenegg,361,Sinabelkirchen - Ilz Fürstenfeld,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.483,3.32,3.015,3.499,3.038,1.294,346.0,Messung
A02,144.2,Hochenegg,361,Sinabelkirchen - Ilz Fürstenfeld,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",13.961,14.601,14.246,14.22,15.803,13.004,12.359,Messung
A02,144.2,Hochenegg,361,gesamt,gesamt,Kfz,32.286,35.277,34.98,35.138,35.816,27.448,25.043,Messung
A02,144.2,Hochenegg,361,gesamt,gesamt,"Kfz > 3,5t hzG",4.924,6.672,7.294,7.085,5.225,2.133,665.0,Messung
A02,144.2,Hochenegg,361,gesamt,gesamt,"Kfz <= 3,5t hzG",27.362,28.605,27.686,28.053,30.591,25.315,24.378,Messung
A02,150.9,ASt Sinabelkirchen,828,Sinabelkirchen - Gleisdorf Süd,Staatsgrenze Arnoldstein,Kfz,17.699,19.624,20.142,19.744,19.003,14.383,13.171,"6,5% Tage geschätzt"
A02,150.9,ASt Sinabelkirchen,828,Sinabelkirchen - Gleisdorf Süd,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",2.562,3.526,4.501,3.76,2.334,851.0,326.0,Messung
A02,150.9,ASt Sinabelkirchen,828,Sinabelkirchen - Gleisdorf Süd,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",15.137,16.098,15.641,15.984,16.669,13.532,12.845,"6,5% Tage geschätzt"
A02,150.9,ASt Sinabelkirchen,828,Gleisdorf Süd - Sinabelkirchen,Wien/Kn. Inzersdorf,Kfz,17.174,18.955,18.379,18.76,19.806,14.606,12.656,Messung
A02,150.9,ASt Sinabelkirchen,828,Gleisdorf Süd - Sinabelkirchen,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.577,3.458,3.175,3.629,3.181,1.3,349.0,Messung
A02,150.9,ASt Sinabelkirchen,828,Gleisdorf Süd - Sinabelkirchen,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",14.597,15.497,15.204,15.131,16.625,13.306,12.307,Messung
A02,150.9,ASt Sinabelkirchen,828,gesamt,gesamt,Kfz,34.873,38.579,38.521,38.504,38.809,28.989,25.827,"6,5% Tage geschätzt"
A02,150.9,ASt Sinabelkirchen,828,gesamt,gesamt,"Kfz > 3,5t hzG",5.139,6.984,7.676,7.389,5.515,2.151,675.0,Messung
A02,150.9,ASt Sinabelkirchen,828,gesamt,gesamt,"Kfz <= 3,5t hzG",29.734,31.595,30.845,31.115,33.294,26.838,25.152,"6,5% Tage geschätzt"
A02,158.9,Pirching An Der Raab,373,Gleisdorf Süd - Gleisdorf West,Staatsgrenze Arnoldstein,Kfz,22.027,24.978,25.12,25.392,23.816,16.919,15.106,"96,8% Tage geschätzt"
A02,158.9,Pirching An Der Raab,373,Gleisdorf Süd - Gleisdorf West,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",2.893,3.998,4.976,4.265,2.718,898.0,355.0,Messung
A02,158.9,Pirching An Der Raab,373,Gleisdorf Süd - Gleisdorf West,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",19.134,20.98,20.144,21.127,21.098,16.021,14.751,"96,8% Tage geschätzt"
