Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte,
A01, 37.8 ,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","30,999","28,339","25,609","27,364","32,509","35,020","37,629",Messung,
A01, 37.8 ,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,Kfz,"28,182","30,278","27,158","29,829","33,315","26,649","21,869",Messung,
A01, 37.8 ,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz > 3,5t hzG","3,867","5,159","4,287","5,378","5,113","2,250",425,Messung,
A01, 37.8 ,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz <= 3,5t hzG","24,315","25,119","22,871","24,451","28,202","24,399","21,444",Messung,
A01, 37.8 ,HASt St. Christophen,754,gesamt,gesamt,Kfz,"63,102","63,931","60,099","62,679","69,482","63,156","60,167",Messung,
A01, 37.8 ,HASt St. Christophen,754,gesamt,gesamt,"Kfz > 3,5t hzG","7,788","10,473","11,619","10,864","8,771","3,737","1,094",Messung,
A01, 37.8 ,HASt St. Christophen,754,gesamt,gesamt,"Kfz <= 3,5t hzG","55,314","53,458","48,480","51,815","60,711","59,419","59,073",Messung,
A01, 44.3 ,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,Kfz,-1,-1,-1,-1,-1,-1,-1,Ausfall,
A01, 44.3 ,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,001","5,434","7,491","5,608","3,748","1,497",652,Messung,
A01, 44.3 ,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",-1,-1,-1,-1,-1,-1,-1,Ausfall,
