Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte,
A02, 259.5 ,St. Andrä im Lavanttal,542,Wolfsberg Süd - St. Andrä,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,802","2,419","2,991","2,579","1,660",886,253,Messung,
A02, 259.5 ,St. Andrä im Lavanttal,542,Wolfsberg Süd - St. Andrä,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","8,617","9,098","8,571","9,002","9,664","8,171","7,229","19,4% Tage geschätzt",
A02, 259.5 ,St. Andrä im Lavanttal,542,St. Andrä - Wolfsberg Süd,Wien/Kn. Inzersdorf,Kfz,"10,196","10,873","10,244","10,935","11,089","9,128","8,537","16,1% Tage geschätzt",
A02, 259.5 ,St. Andrä im Lavanttal,542,St. Andrä - Wolfsberg Süd,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,826","2,379","1,781","2,444","2,570","1,209",301,Messung,
A02, 259.5 ,St. Andrä im Lavanttal,542,St. Andrä - Wolfsberg Süd,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","8,370","8,494","8,463","8,491","8,519","7,919","8,236","16,1% Tage geschätzt",
A02, 259.5 ,St. Andrä im Lavanttal,542,gesamt,gesamt,Kfz,"20,615","22,390","21,806","22,516","22,413","18,185","16,019","19,4% Tage geschätzt",
A02, 259.5 ,St. Andrä im Lavanttal,542,gesamt,gesamt,"Kfz > 3,5t hzG","3,628","4,798","4,772","5,023","4,230","2,095",554,Messung,
A02, 259.5 ,St. Andrä im Lavanttal,542,gesamt,gesamt,"Kfz <= 3,5t hzG","16,987","17,592","17,034","17,493","18,183","16,090","15,465","19,4% Tage geschätzt",
A02, 268.5 ,Donnersbergt.,551,St. Andrä - Griffen,Staatsgrenze Arnoldstein,Kfz,"10,617","11,797","11,766","11,902","11,541","9,138","7,473",Messung,
A02, 268.5 ,Donnersbergt.,551,St. Andrä - Griffen,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,698","2,310","2,932","2,527","1,372",702,223,Messung,
A02, 268.5 ,Donnersbergt.,551,St. Andrä - Griffen,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","8,919","9,487","8,834","9,375","10,169","8,436","7,250",Messung,
A02, 268.5 ,Donnersbergt.,551,Griffen - St. Andrä,Wien/Kn. Inzersdorf,Kfz,"10,936","11,754","10,904","11,849","12,020","9,650","8,928",Messung,
A02, 268.5 ,Donnersbergt.,551,Griffen - St. Andrä,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,686","2,231","1,692","2,381","2,165",950,269,Messung,
A02, 268.5 ,Donnersbergt.,551,Griffen - St. Andrä,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","9,250","9,523","9,212","9,468","9,855","8,700","8,659",Messung,
A02, 268.5 ,Donnersbergt.,551,gesamt,gesamt,Kfz,"21,553","23,551","22,670","23,751","23,561","18,788","16,401",Messung,
A02, 268.5 ,Donnersbergt.,551,gesamt,gesamt,"Kfz > 3,5t hzG","3,384","4,541","4,624","4,908","3,537","1,652",492,Messung,
A02, 268.5 ,Donnersbergt.,551,gesamt,gesamt,"Kfz <= 3,5t hzG","18,169","19,010","18,046","18,843","20,024","17,136","15,909",Messung,
A02, 283.6 ,VölkermarktU.,558,Völkermarkt Ost - Völkermarkt West,Staatsgrenze Arnoldstein,Kfz,"9,738","10,677","10,688","10,771","10,424","8,708","7,138",Messung,
A02, 283.6 ,VölkermarktU.,558,Völkermarkt Ost - Völkermarkt West,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,626","2,201","2,826","2,410","1,283",708,224,Messung,
A02, 283.6 ,VölkermarktU.,558,Völkermarkt Ost - Völkermarkt West,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","8,112","8,476","7,862","8,361","9,141","8,000","6,914",Messung,
A02, 283.6 ,VölkermarktU.,558,Völkermarkt West - Völkermarkt Ost,Wien/Kn. Inzersdorf,Kfz,"10,056","10,707","9,810","10,738","11,164","9,111","8,409","12,9% Tage geschätzt",
A02, 283.6 ,VölkermarktU.,558,Völkermarkt West - Völkermarkt Ost,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,549","2,032","1,453","2,170","2,023",935,264,Messung,
A02, 283.6 ,VölkermarktU.,558,Völkermarkt West - Völkermarkt Ost,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","8,507","8,675","8,357","8,568","9,141","8,176","8,145","12,9% Tage geschätzt",
A02, 283.6 ,VölkermarktU.,558,gesamt,gesamt,Kfz,"19,794","21,384","20,498","21,509","21,588","17,819","15,547","12,9% Tage geschätzt",
A02, 283.6 ,VölkermarktU.,558,gesamt,gesamt,"Kfz > 3,5t hzG","3,175","4,233","4,279","4,580","3,306","1,643",488,Messung,
A02, 283.6 ,VölkermarktU.,558,gesamt,gesamt,"Kfz <= 3,5t hzG","16,619","17,151","16,219","16,929","18,282","16,176","15,059","12,9% Tage geschätzt",
A02, 301.9 ,Grafenstein,563,Grafenstein - Klagenfurt Ost,Staatsgrenze Arnoldstein,Kfz,"12,253","13,671","13,899","13,753","13,322","10,617","8,380",Messung,
A02, 301.9 ,Grafenstein,563,Grafenstein - Klagenfurt Ost,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,671","2,270","2,844","2,500","1,329",706,216,Messung,
A02, 301.9 ,Grafenstein,563,Grafenstein - Klagenfurt Ost,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","10,582","11,401","11,055","11,253","11,993","9,911","8,164",Messung,
A02, 301.9 ,Grafenstein,563,Klagenfurt Ost - Grafenstein,Wien/Kn. Inzersdorf,Kfz,"12,737","13,880","12,952","13,935","14,292","11,164","9,785",Messung,
A02, 301.9 ,Grafenstein,563,Klagenfurt Ost - Grafenstein,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,655","2,194","1,635","2,343","2,144",917,261,Messung,
A02, 301.9 ,Grafenstein,563,Klagenfurt Ost - Grafenstein,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","11,082","11,686","11,317","11,592","12,148","10,247","9,524",Messung,
A02, 301.9 ,Grafenstein,563,gesamt,gesamt,Kfz,"24,990","27,551","26,851","27,688","27,614","21,781","18,165",Messung,
A02, 301.9 ,Grafenstein,563,gesamt,gesamt,"Kfz > 3,5t hzG","3,326","4,464","4,479","4,843","3,473","1,623",477,Messung,
A02, 301.9 ,Grafenstein,563,gesamt,gesamt,"Kfz <= 3,5t hzG","21,664","23,087","22,372","22,845","24,141","20,158","17,688",Messung,
A02, 321.1 ,ASt Klagenfurt Nord,212,Klagenfurt Nord - Klagenfurt West,Staatsgrenze Arnoldstein,Kfz,"12,927","14,496","15,521","14,507","13,854","11,104","8,652","29,0% Tage geschätzt",
A02, 321.1 ,ASt Klagenfurt Nord,212,Klagenfurt Nord - Klagenfurt West,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,808","2,473","3,107","2,708","1,478",708,216,Messung,
A02, 321.1 ,ASt Klagenfurt Nord,212,Klagenfurt Nord - Klagenfurt West,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","11,119","12,023","12,414","11,799","12,376","10,396","8,436","29,0% Tage geschätzt",
A02, 321.1 ,ASt Klagenfurt Nord,212,Klagenfurt West - Klagenfurt Nord,Wien/Kn. Inzersdorf,Kfz,"12,356","13,422","12,766","13,491","13,639","10,866","9,616",Messung,
A02, 321.1 ,ASt Klagenfurt Nord,212,Klagenfurt West - Klagenfurt Nord,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,761","2,346","1,760","2,514","2,259",942,259,Messung,
A02, 321.1 ,ASt Klagenfurt Nord,212,Klagenfurt West - Klagenfurt Nord,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","10,595","11,076","11,006","10,977","11,380","9,924","9,357",Messung,
A02, 321.1 ,ASt Klagenfurt Nord,212,gesamt,gesamt,Kfz,"25,283","27,918","28,287","27,998","27,493","21,970","18,268","29,0% Tage geschätzt",
A02, 321.1 ,ASt Klagenfurt Nord,212,gesamt,gesamt,"Kfz > 3,5t hzG","3,569","4,819","4,867","5,222","3,737","1,650",475,Messung,
A02, 321.1 ,ASt Klagenfurt Nord,212,gesamt,gesamt,"Kfz <= 3,5t hzG","21,714","23,099","23,420","22,776","23,756","20,320","17,793","29,0% Tage geschätzt",
A02, 329.9 ,Krumpendorf,569,Klagenfurt West - Krumpendorf West,Staatsgrenze Arnoldstein,Kfz,"16,174","18,200","18,633","18,250","17,809","14,021","10,518",Messung,
A02, 329.9 ,Krumpendorf,569,Klagenfurt West - Krumpendorf West,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,962","2,691","3,358","2,932","1,664",739,228,Messung,
A02, 329.9 ,Krumpendorf,569,Klagenfurt West - Krumpendorf West,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","14,212","15,509","15,275","15,318","16,145","13,282","10,290",Messung,
A02, 329.9 ,Krumpendorf,569,Krumpendorf West - Klagenfurt West,Wien/Kn. Inzersdorf,Kfz,"15,788","17,322","16,743","17,390","17,492","13,832","11,722",Messung,
A02, 329.9 ,Krumpendorf,569,Krumpendorf West - Klagenfurt West,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,902","2,545","1,983","2,713","2,445",975,273,Messung,
A02, 329.9 ,Krumpendorf,569,Krumpendorf West - Klagenfurt West,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","13,886","14,777","14,760","14,677","15,047","12,857","11,449",Messung,
A02, 329.9 ,Krumpendorf,569,gesamt,gesamt,Kfz,"31,962","35,522","35,376","35,640","35,301","27,853","22,240",Messung,
A02, 329.9 ,Krumpendorf,569,gesamt,gesamt,"Kfz > 3,5t hzG","3,864","5,236","5,341","5,645","4,109","1,714",501,Messung,
A02, 329.9 ,Krumpendorf,569,gesamt,gesamt,"Kfz <= 3,5t hzG","28,098","30,286","30,035","29,995","31,192","26,139","21,739",Messung,
A02, 332.7 ,Pörtschach Ost,576,Krumpendorf West - Pörtschach Ost,Staatsgrenze Arnoldstein,Kfz,"17,182","19,316","19,807","19,337","18,969","14,956","11,196",Messung,
A02, 332.7 ,Pörtschach Ost,576,Krumpendorf West - Pörtschach Ost,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,973","2,704","3,372","2,945","1,680",746,230,Messung,
A02, 332.7 ,Pörtschach Ost,576,Krumpendorf West - Pörtschach Ost,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","15,209","16,612","16,435","16,392","17,289","14,210","10,966",Messung,
A02, 332.7 ,Pörtschach Ost,576,Pörtschach Ost - Krumpendorf West,Wien/Kn. Inzersdorf,Kfz,"16,999","18,632","18,259","18,597","18,946","15,403","12,346","41,9% Tage geschätzt",
A02, 332.7 ,Pörtschach Ost,576,Pörtschach Ost - Krumpendorf West,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,906","2,549","1,987","2,718","2,449",977,275,Messung,
A02, 332.7 ,Pörtschach Ost,576,Pörtschach Ost - Krumpendorf West,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","15,093","16,083","16,272","15,879","16,497","14,426","12,071","41,9% Tage geschätzt",
A02, 332.7 ,Pörtschach Ost,576,gesamt,gesamt,Kfz,"34,181","37,948","38,066","37,934","37,915","30,359","23,542","41,9% Tage geschätzt",
A02, 332.7 ,Pörtschach Ost,576,gesamt,gesamt,"Kfz > 3,5t hzG","3,879","5,253","5,359","5,663","4,129","1,723",505,Messung,
A02, 332.7 ,Pörtschach Ost,576,gesamt,gesamt,"Kfz <= 3,5t hzG","30,302","32,695","32,707","32,271","33,786","28,636","23,037","41,9% Tage geschätzt",
A02, 340.7 ,Tibitsch,585,Pörtschach West - Velden Ost,Staatsgrenze Arnoldstein,Kfz,"16,876","18,934","19,810","18,896","18,505","14,582","11,201","77,4% Tage geschätzt",
A02, 340.7 ,Tibitsch,585,Pörtschach West - Velden Ost,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,955","2,678","3,313","2,923","1,660",750,227,Messung,
A02, 340.7 ,Tibitsch,585,Pörtschach West - Velden Ost,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","14,921","16,256","16,497","15,973","16,845","13,832","10,974","77,4% Tage geschätzt",
A02, 340.7 ,Tibitsch,585,Velden Ost - Pörtschach West,Wien/Kn. Inzersdorf,Kfz,"16,482","18,277","18,029","18,394","18,122","14,490","11,527","74,2% Tage geschätzt",
A02, 340.7 ,Tibitsch,585,Velden Ost - Pörtschach West,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,891","2,528","1,967","2,697","2,428",970,275,Messung,
A02, 340.7 ,Tibitsch,585,Velden Ost - Pörtschach West,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","14,591","15,749","16,062","15,697","15,694","13,520","11,252","74,2% Tage geschätzt",
A02, 340.7 ,Tibitsch,585,gesamt,gesamt,Kfz,"33,358","37,211","37,839","37,290","36,627","29,072","22,728","77,4% Tage geschätzt",
A02, 340.7 ,Tibitsch,585,gesamt,gesamt,"Kfz > 3,5t hzG","3,846","5,206","5,280","5,620","4,088","1,720",502,Messung,
A02, 340.7 ,Tibitsch,585,gesamt,gesamt,"Kfz <= 3,5t hzG","29,512","32,005","32,559","31,670","32,539","27,352","22,226","77,4% Tage geschätzt",
A02, 344.6 ,Velden am Wörthersee,54,Velden Ost - Velden West,Staatsgrenze Arnoldstein,Kfz,"15,103","16,958","17,330","17,048","16,503","13,251","9,843","100,0% Tage geschätzt",
A02, 344.6 ,Velden am Wörthersee,54,Velden Ost - Velden West,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,939","2,655","3,290","2,901","1,637",748,223,Messung,
A02, 344.6 ,Velden am Wörthersee,54,Velden Ost - Velden West,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","13,164","14,303","14,040","14,147","14,866","12,503","9,620","100,0% Tage geschätzt",
A02, 344.6 ,Velden am Wörthersee,54,Velden West - Velden Ost,Wien/Kn. Inzersdorf,Kfz,"15,306","16,835","16,058","16,954","16,994","13,526","11,139","100,0% Tage geschätzt",
A02, 344.6 ,Velden am Wörthersee,54,Velden West - Velden Ost,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,881","2,515","1,954","2,682","2,415",965,274,Messung,
A02, 344.6 ,Velden am Wörthersee,54,Velden West - Velden Ost,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","13,425","14,320","14,104","14,272","14,579","12,561","10,865","100,0% Tage geschätzt",
A02, 344.6 ,Velden am Wörthersee,54,gesamt,gesamt,Kfz,"30,409","33,793","33,388","34,002","33,497","26,777","20,982","100,0% Tage geschätzt",
A02, 344.6 ,Velden am Wörthersee,54,gesamt,gesamt,"Kfz > 3,5t hzG","3,820","5,170","5,244","5,583","4,052","1,713",497,Messung,
A02, 344.6 ,Velden am Wörthersee,54,gesamt,gesamt,"Kfz <= 3,5t hzG","26,589","28,623","28,144","28,419","29,445","25,064","20,485","100,0% Tage geschätzt",
A02, 348.6 ,Kantnig,591,Velden West - Wernberg,Staatsgrenze Arnoldstein,Kfz,"15,924","17,730","18,106","17,751","17,449","14,264","10,708",Messung,
A02, 348.6 ,Kantnig,591,Velden West - Wernberg,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,935","2,648","3,284","2,892","1,634",751,225,Messung,
A02, 348.6 ,Kantnig,591,Velden West - Wernberg,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","13,989","15,082","14,822","14,859","15,815","13,513","10,483",Messung,
A02, 348.6 ,Kantnig,591,Wernberg - Velden West,Wien/Kn. Inzersdorf,Kfz,"16,180","17,576","17,009","17,506","18,100","15,058","12,042","51,6% Tage geschätzt",
A02, 348.6 ,Kantnig,591,Wernberg - Velden West,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,880","2,512","1,948","2,678","2,419",969,278,Messung,
A02, 348.6 ,Kantnig,591,Wernberg - Velden West,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","14,300","15,064","15,061","14,828","15,681","14,089","11,764","51,6% Tage geschätzt",
A02, 348.6 ,Kantnig,591,gesamt,gesamt,Kfz,"32,104","35,306","35,115","35,257","35,549","29,322","22,750","51,6% Tage geschätzt",
A02, 348.6 ,Kantnig,591,gesamt,gesamt,"Kfz > 3,5t hzG","3,815","5,160","5,232","5,570","4,053","1,720",503,Messung,
A02, 348.6 ,Kantnig,591,gesamt,gesamt,"Kfz <= 3,5t hzG","28,289","30,146","29,883","29,687","31,496","27,602","22,247","51,6% Tage geschätzt",
A02, 354.2 ,Drautschen,60,Wernberg - Kn. Villach,Staatsgrenze Arnoldstein,Kfz,"13,770","15,168","15,361","15,169","15,049","12,801","9,523",Messung,
A02, 354.2 ,Drautschen,60,Wernberg - Kn. Villach,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,815","2,480","3,110","2,719","1,482",724,215,Messung,
A02, 354.2 ,Drautschen,60,Wernberg - Kn. Villach,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","11,955","12,688","12,251","12,450","13,567","12,077","9,308",Messung,
A02, 354.2 ,Drautschen,60,Kn. Villach - Wernberg,Wien/Kn. Inzersdorf,Kfz,"14,031","15,121","14,137","15,164","15,601","13,186","10,780",Messung,
A02, 354.2 ,Drautschen,60,Kn. Villach - Wernberg,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,779","2,371","1,799","2,533","2,292",936,269,Messung,
A02, 354.2 ,Drautschen,60,Kn. Villach - Wernberg,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","12,252","12,750","12,338","12,631","13,309","12,250","10,511",Messung,
A02, 354.2 ,Drautschen,60,gesamt,gesamt,Kfz,"27,801","30,289","29,498","30,333","30,650","25,987","20,303",Messung,
A02, 354.2 ,Drautschen,60,gesamt,gesamt,"Kfz > 3,5t hzG","3,594","4,851","4,909","5,252","3,774","1,660",484,Messung,
A02, 354.2 ,Drautschen,60,gesamt,gesamt,"Kfz <= 3,5t hzG","24,207","25,438","24,589","25,081","26,876","24,327","19,819",Messung,
A02, 356.7 ,Villach,581,Kn. Villach - Villach Faaker See,Staatsgrenze Arnoldstein,Kfz,"13,542","15,029","15,080","15,059","14,920","12,753","8,864",Messung,
A02, 356.7 ,Villach,581,Kn. Villach - Villach Faaker See,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","2,184","2,944","3,495","3,206","1,932","1,145",219,Messung,
A02, 356.7 ,Villach,581,Kn. Villach - Villach Faaker See,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","11,358","12,085","11,585","11,853","12,988","11,608","8,645",Messung,
A02, 356.7 ,Villach,581,Villach Faaker See - Kn. Villach,Wien/Kn. Inzersdorf,Kfz,"12,874","14,018","13,043","14,039","14,549","12,135","9,364","6,5% Tage geschätzt",
A02, 356.7 ,Villach,581,Villach Faaker See - Kn. Villach,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","2,171","2,876","2,450","3,045","2,692","1,238",327,Messung,
A02, 356.7 ,Villach,581,Villach Faaker See - Kn. Villach,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","10,703","11,142","10,593","10,994","11,857","10,897","9,037","6,5% Tage geschätzt",
A02, 356.7 ,Villach,581,gesamt,gesamt,Kfz,"26,416","29,047","28,123","29,098","29,469","24,888","18,228","6,5% Tage geschätzt",
A02, 356.7 ,Villach,581,gesamt,gesamt,"Kfz > 3,5t hzG","4,355","5,820","5,945","6,251","4,624","2,383",546,Messung,
A02, 356.7 ,Villach,581,gesamt,gesamt,"Kfz <= 3,5t hzG","22,061","23,227","22,178","22,847","24,845","22,505","17,682","6,5% Tage geschätzt",
A02, 369.0 ,Unterschütt,588,Villach Warmbad - Hermagor,Staatsgrenze Arnoldstein,Kfz,"8,320","8,826","8,777","8,774","8,992","8,603","6,360","41,9% Tage geschätzt",
A02, 369.0 ,Unterschütt,588,Villach Warmbad - Hermagor,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,961","2,621","3,148","2,870","1,659","1,123",209,Messung,
A02, 369.0 ,Unterschütt,588,Villach Warmbad - Hermagor,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","6,359","6,205","5,629","5,904","7,333","7,480","6,151","41,9% Tage geschätzt",
A02, 369.0 ,Unterschütt,588,Hermagor - Villach Warmbad,Wien/Kn. Inzersdorf,Kfz,"8,280","8,606","7,639","8,552","9,329","8,556","6,955","41,9% Tage geschätzt",
A02, 369.0 ,Unterschütt,588,Hermagor - Villach Warmbad,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,962","2,573","2,123","2,730","2,434","1,214",321,Messung,
A02, 369.0 ,Unterschütt,588,Hermagor - Villach Warmbad,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","6,318","6,033","5,516","5,822","6,895","7,342","6,634","41,9% Tage geschätzt",
A02, 369.0 ,Unterschütt,588,gesamt,gesamt,Kfz,"16,600","17,432","16,416","17,326","18,321","17,159","13,315","41,9% Tage geschätzt",
A02, 369.0 ,Unterschütt,588,gesamt,gesamt,"Kfz > 3,5t hzG","3,923","5,194","5,271","5,600","4,093","2,337",530,Messung,
A02, 369.0 ,Unterschütt,588,gesamt,gesamt,"Kfz <= 3,5t hzG","12,677","12,238","11,145","11,726","14,228","14,822","12,785","41,9% Tage geschätzt",
A02, 379.2 ,Maglern,595,Arnoldstein - Staatsgrenze Arnoldstein,Staatsgrenze Arnoldstein,Kfz,"4,825","4,967","4,735","5,068","4,845","5,221","4,062","51,6% Tage geschätzt",
A02, 379.2 ,Maglern,595,Arnoldstein - Staatsgrenze Arnoldstein,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG","1,835","2,436","2,696","2,725","1,528","1,137",196,Messung,
A02, 379.2 ,Maglern,595,Arnoldstein - Staatsgrenze Arnoldstein,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG","2,990","2,531","2,039","2,343","3,317","4,084","3,866","51,6% Tage geschätzt",
A02, 379.2 ,Maglern,595,Staatsgrenze Arnoldstein - Arnoldstein,Wien/Kn. Inzersdorf,Kfz,"4,695","4,686","3,870","4,702","5,135","5,236","4,365","51,6% Tage geschätzt",
A02, 379.2 ,Maglern,595,Staatsgrenze Arnoldstein - Arnoldstein,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG","1,844","2,432","2,012","2,589","2,274","1,072",301,Messung,
A02, 379.2 ,Maglern,595,Staatsgrenze Arnoldstein - Arnoldstein,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG","2,851","2,254","1,858","2,113","2,861","4,164","4,064","51,6% Tage geschätzt",
A02, 379.2 ,Maglern,595,gesamt,gesamt,Kfz,"9,520","9,653","8,605","9,770","9,980","10,457","8,427","51,6% Tage geschätzt",
A02, 379.2 ,Maglern,595,gesamt,gesamt,"Kfz > 3,5t hzG","3,679","4,868","4,708","5,314","3,802","2,209",497,Messung,
A02, 379.2 ,Maglern,595,gesamt,gesamt,"Kfz <= 3,5t hzG","5,841","4,785","3,897","4,456","6,178","8,248","7,930","51,6% Tage geschätzt",
A03, 9.1 ,Ebreichsdorf,524,Ebreichsdorf West - Pottendorf,Staatsgrenze Klingenbach,Kfz,"16,700","19,602","18,782","19,615","20,059","13,322","8,795",Messung,
A03, 9.1 ,Ebreichsdorf,524,Ebreichsdorf West - Pottendorf,Staatsgrenze Klingenbach,"Kfz > 3,5t hzG",683,962,971,993,876,176,45,Messung,
A03, 9.1 ,Ebreichsdorf,524,Ebreichsdorf West - Pottendorf,Staatsgrenze Klingenbach,"Kfz <= 3,5t hzG","16,017","18,640","17,811","18,622","19,183","13,146","8,750",Messung,
A03, 9.1 ,Ebreichsdorf,524,Pottendorf - Ebreichsdorf West,Wien/Kn. - Guntramsdorf,Kfz,"16,939","19,143","20,239","19,543","17,446","12,989","11,859","51,6% Tage geschätzt",
A03, 9.1 ,Ebreichsdorf,524,Pottendorf - Ebreichsdorf West,Wien/Kn. - Guntramsdorf,"Kfz > 3,5t hzG",685,965,"1,232","1,002",707,131,75,Messung,
A03, 9.1 ,Ebreichsdorf,524,Pottendorf - Ebreichsdorf West,Wien/Kn. - Guntramsdorf,"Kfz <= 3,5t hzG","16,254","18,178","19,007","18,541","16,739","12,858","11,784","51,6% Tage geschätzt",
A03, 9.1 ,Ebreichsdorf,524,gesamt,gesamt,Kfz,"33,639","38,745","39,021","39,158","37,505","26,311","20,654","51,6% Tage geschätzt",
A03, 9.1 ,Ebreichsdorf,524,gesamt,gesamt,"Kfz > 3,5t hzG","1,368","1,927","2,203","1,995","1,583",307,120,Messung,
A03, 9.1 ,Ebreichsdorf,524,gesamt,gesamt,"Kfz <= 3,5t hzG","32,271","36,818","36,818","37,163","35,922","26,004","20,534","51,6% Tage geschätzt",
A03, 25.9 ,Landegg,55,Pottendorf - Hornstein,Staatsgrenze Klingenbach,Kfz,"15,382","18,110","17,181","18,117","18,648","12,251","7,921","35,5% Tage geschätzt",
A03, 25.9 ,Landegg,55,Pottendorf - Hornstein,Staatsgrenze Klingenbach,"Kfz > 3,5t hzG",677,953,980,978,871,175,46,Messung,
A03, 25.9 ,Landegg,55,Pottendorf - Hornstein,Staatsgrenze Klingenbach,"Kfz <= 3,5t hzG","14,705","17,157","16,201","17,139","17,777","12,076","7,875","35,5% Tage geschätzt",
A03, 25.9 ,Landegg,55,Hornstein - Pottendorf,Wien/Kn. - Guntramsdorf,Kfz,"15,680","17,717","18,799","18,081","16,121","11,874","11,090","35,5% Tage geschätzt",
A03, 25.9 ,Landegg,55,Hornstein - Pottendorf,Wien/Kn. - Guntramsdorf,"Kfz > 3,5t hzG",689,970,"1,258","1,003",711,132,80,Messung,
A03, 25.9 ,Landegg,55,Hornstein - Pottendorf,Wien/Kn. - Guntramsdorf,"Kfz <= 3,5t hzG","14,991","16,747","17,541","17,078","15,410","11,742","11,010","35,5% Tage geschätzt",
A03, 25.9 ,Landegg,55,gesamt,gesamt,Kfz,"31,062","35,827","35,980","36,198","34,769","24,125","19,011","35,5% Tage geschätzt",
A03, 25.9 ,Landegg,55,gesamt,gesamt,"Kfz > 3,5t hzG","1,366","1,923","2,238","1,981","1,582",307,126,Messung,
A03, 25.9 ,Landegg,55,gesamt,gesamt,"Kfz <= 3,5t hzG","29,696","33,904","33,742","34,217","33,187","23,818","18,885","35,5% Tage geschätzt",
A03, 36.0 ,Großhöflein,526,Müllendorf - Kn. Eisenstadt,Staatsgrenze Klingenbach,Kfz,"15,487","18,291","17,318","18,131","19,293","12,485","7,675","64,5% Tage geschätzt",
A03, 36.0 ,Großhöflein,526,Müllendorf - Kn. Eisenstadt,Staatsgrenze Klingenbach,"Kfz > 3,5t hzG",681,958,980,990,863,173,48,Messung,
A03, 36.0 ,Großhöflein,526,Müllendorf - Kn. Eisenstadt,Staatsgrenze Klingenbach,"Kfz <= 3,5t hzG","14,806","17,333","16,338","17,141","18,430","12,312","7,627","64,5% Tage geschätzt",
A03, 36.0 ,Großhöflein,526,Kn. Eisenstadt - Müllendorf,Wien/Kn. - Guntramsdorf,Kfz,"15,853","18,007","19,305","18,192","16,747","12,182","10,761","64,5% Tage geschätzt",
A03, 36.0 ,Großhöflein,526,Kn. Eisenstadt - Müllendorf,Wien/Kn. - Guntramsdorf,"Kfz > 3,5t hzG",700,986,"1,260","1,033",697,135,78,Messung,
