Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A05,38.8,Großkrut,22,Poysdorf Süd - Großkrut,Staatsgrenze Drasenhofen,Kfz,7.371,7.64,5.898,7.449,9.182,8.81,5.471,Messung
A05,38.8,Großkrut,22,Poysdorf Süd - Großkrut,Staatsgrenze Drasenhofen,"Kfz > 3,5t hzG",1.562,1.992,1.349,2.047,2.234,1.303,233.0,Messung
A05,38.8,Großkrut,22,Poysdorf Süd - Großkrut,Staatsgrenze Drasenhofen,"Kfz <= 3,5t hzG",5.809,5.648,4.549,5.402,6.948,7.507,5.238,Messung
A05,38.8,Großkrut,22,Großkrut - Poysdorf Süd,Kn. Eibensbrunn,Kfz,7.869,7.757,9.395,7.514,7.408,8.515,7.831,Messung
A05,38.8,Großkrut,22,Großkrut - Poysdorf Süd,Kn. Eibensbrunn,"Kfz > 3,5t hzG",1.521,2.012,3.297,2.075,1.076,620.0,406.0,Messung
A05,38.8,Großkrut,22,Großkrut - Poysdorf Süd,Kn. Eibensbrunn,"Kfz <= 3,5t hzG",6.348,5.745,6.098,5.439,6.332,7.895,7.425,Messung
A05,38.8,Großkrut,22,gesamt,gesamt,Kfz,15.24,15.397,15.293,14.963,16.59,17.325,13.302,Messung
A05,38.8,Großkrut,22,gesamt,gesamt,"Kfz > 3,5t hzG",3.083,4.004,4.646,4.122,3.31,1.923,639.0,Messung
A05,38.8,Großkrut,22,gesamt,gesamt,"Kfz <= 3,5t hzG",12.157,11.393,10.647,10.841,13.28,15.402,12.663,Messung
A05,44.6,Poysdorf,443,Großkrut - Poysdorf Nord,Staatsgrenze Drasenhofen,Kfz,5.823,5.945,4.43,5.777,7.289,7.301,4.409,Messung
A05,44.6,Poysdorf,443,Großkrut - Poysdorf Nord,Staatsgrenze Drasenhofen,"Kfz > 3,5t hzG",1.544,1.967,1.326,2.018,2.22,1.298,228.0,Messung
A05,44.6,Poysdorf,443,Großkrut - Poysdorf Nord,Staatsgrenze Drasenhofen,"Kfz <= 3,5t hzG",4.279,3.978,3.104,3.759,5.069,6.003,4.181,Messung
A05,44.6,Poysdorf,443,Poysdorf Nord - Großkrut,Kn. Eibensbrunn,Kfz,6.089,5.893,7.304,5.676,5.608,6.856,6.264,Messung
A05,44.6,Poysdorf,443,Poysdorf Nord - Großkrut,Kn. Eibensbrunn,"Kfz > 3,5t hzG",1.507,1.993,3.282,2.053,1.064,610.0,406.0,Messung
A05,44.6,Poysdorf,443,Poysdorf Nord - Großkrut,Kn. Eibensbrunn,"Kfz <= 3,5t hzG",4.582,3.9,4.022,3.623,4.544,6.246,5.858,Messung
A05,44.6,Poysdorf,443,gesamt,gesamt,Kfz,11.912,11.838,11.734,11.453,12.897,14.157,10.673,Messung
A05,44.6,Poysdorf,443,gesamt,gesamt,"Kfz > 3,5t hzG",3.051,3.96,4.608,4.071,3.284,1.908,634.0,Messung
A05,44.6,Poysdorf,443,gesamt,gesamt,"Kfz <= 3,5t hzG",8.861,7.878,7.126,7.382,9.613,12.249,10.039,Messung
A05,53.6,Drasenhofen,4,Drasenhofen West - Drasenhofen Nord,Staatsgrenze Drasenhofen,Kfz,4.983,4.969,3.687,4.807,6.159,6.583,3.967,Messung
A05,53.6,Drasenhofen,4,Drasenhofen West - Drasenhofen Nord,Staatsgrenze Drasenhofen,"Kfz > 3,5t hzG",1.539,1.963,1.331,2.011,2.218,1.29,218.0,Messung
A05,53.6,Drasenhofen,4,Drasenhofen West - Drasenhofen Nord,Staatsgrenze Drasenhofen,"Kfz <= 3,5t hzG",3.444,3.006,2.356,2.796,3.941,5.293,3.749,Messung
A05,53.6,Drasenhofen,4,Drasenhofen Nord - Drasenhofen West,Kn. Eibensbrunn,Kfz,5.421,5.141,6.483,4.919,4.912,6.295,5.82,Messung
A05,53.6,Drasenhofen,4,Drasenhofen Nord - Drasenhofen West,Kn. Eibensbrunn,"Kfz > 3,5t hzG",1.507,1.994,3.293,2.054,1.059,603.0,404.0,Messung
A05,53.6,Drasenhofen,4,Drasenhofen Nord - Drasenhofen West,Kn. Eibensbrunn,"Kfz <= 3,5t hzG",3.914,3.147,3.19,2.865,3.853,5.692,5.416,Messung
A05,53.6,Drasenhofen,4,gesamt,gesamt,Kfz,10.404,10.11,10.17,9.726,11.071,12.878,9.787,Messung
A05,53.6,Drasenhofen,4,gesamt,gesamt,"Kfz > 3,5t hzG",3.046,3.957,4.624,4.065,3.277,1.893,622.0,Messung
